category	name	code	dualo_code	source
7 notes	Locrian 2	0,2,3,5,6,8,11	0,14,3,17,6,20,11,0,14,3,17,18,20,11	Harmonics.com
7 notes	Locrian bb7	0,1,3,5,6,8,9	0,13,3,17,6,20,21,0,13,3,17,18,20,21	Harmonics.com
6 notes	Lydian #2 Hexatonic,Lydian b3 Hexatonic	0,3,4,7,9,11	0,3,4,7,21,11	Harmonics.com
8 notes	Lydian b3	0,2,3,4,6,7,9,11	0,14,3,4,18,7,21,11,0,14,3,4,6,7,21,11	Harmonics.com
8 notes	Lydian Dim b7	0,2,3,4,6,7,9,10	0,14,3,4,18,7,21,10,0,14,3,4,6,7,21,10	Harmonics.com
7 notes	Lydian Diminished,Raga Dumyaraga,Madhuvanti,Ambika (India),Mela Nitimati (India)	0,2,3,6,7,9,11	0,14,3,18,7,21,11,0,14,3,6,7,21,11	Harmonics.com
8 notes	Lydian Dominant + natural seventh,Lydian with both natural and dominant 7th	0,2,4,6,7,9,10,11	0,14,4,18,7,21,10,11,0,14,4,6,7,21,10,11	Harmonics.com
6 notes	Lydian Hexatonic	0,2,4,7,9,11	0,14,4,7,21,11	Harmonics.com
7 notes	Lydian Minor,Stravinski Raga Ratipriya (India)	0,2,4,6,7,8,10	0,14,4,18,7,20,10,0,14,4,6,7,20,10	Harmonics.com
5 notes	Lydian Pentachord	0,2,4,6,7	0,14,4,18,7,0,14,4,6,7	Harmonics.com
8 notes	Magen Abot,Magen Abot (3b 2#),Magen Abot (Israel) all flat,Magen Abot (Israel) all sharp	0,1,3,4,6,8,9,11	0,13,3,4,6,20,21,11,0,13,3,4,18,20,21,11	Harmonics.com
7 notes	Major Bebop Heptatonic Mela Mararanjani (India)	0,2,4,5,7,8,9	0,14,4,17,7,20,21	Harmonics.com
6 notes	Major Bebop Hexatonic	0,2,4,7,8,9	0,14,4,7,20,21	Harmonics.com
8 notes	Major Lydian Genus Diatonicum Veterum Correctum,Ishikotsucho (Japan)	0,2,4,5,6,7,9,11	0,14,4,17,6,7,21,11,0,14,4,17,18,7,21,11	Harmonics.com
5 notes	Major Pentachord	0,2,4,5,7	0,14,4,17,7	Harmonics.com
8 notes	Maqam Hijaz	0,1,4,5,7,8,10,11	0,13,4,17,7,20,10,11	Harmonics.com
8 notes	Maqam Shadd'araban,Maqam Shadd'araban (6b's)	0,1,3,4,5,6,9,10	0,13,3,4,17,6,21,10,0,13,3,4,17,18,21,10	Harmonics.com
7 notes	Marva or Marvi,Marva Thaat (India)	0,1,4,6,7,9,11	0,13,4,18,7,21,11,0,13,4,6,7,21,11	Harmonics.com
7 notes	Mela  Navanitam (India)	0,1,2,6,7,9,10	0,13,14,6,7,21,10,0,13,14,18,7,21,10	Harmonics.com
7 notes	Mela Bhavapriya (India)	0,1,3,6,7,8,10	0,13,3,18,7,20,10,0,13,3,6,7,20,10	Harmonics.com
7 notes	Mela Citrambari (India)	0,2,4,6,7,10,11	0,14,4,18,7,10,11,0,14,4,6,7,10,11	Harmonics.com
7 notes	Mela Dhatuvardhani (India)	0,3,4,6,7,8,11	0,3,4,18,7,20,11,0,3,4,6,7,20,11	Harmonics.com
7 notes	Mela Dhavalambari (India)	0,1,4,6,7,8,9	0,13,4,6,7,20,21,0,13,4,18,7,20,21	Harmonics.com
7 notes	Mela Divamani (India)	0,1,3,6,7,10,11	0,13,3,18,7,10,11,0,13,3,6,7,10,11	Harmonics.com
7 notes	Mela Ganamurti (India)	0,1,2,5,7,8,11	0,13,14,17,7,20,11	Harmonics.com
7 notes	Mela Gangeyabhusani (India)	0,3,4,5,7,8,11	0,3,4,17,7,20,11	Harmonics.com
7 notes	Mela Gavambohdi (India)	0,1,3,6,7,8,9	0,13,3,6,7,20,21,0,13,3,18,7,20,21	Harmonics.com
7 notes	Mela Hatakambari (India)	0,1,4,5,7,10,11	0,13,4,17,7,10,11	Harmonics.com
7 notes	Mela Jalarnava (India)	0,1,2,6,7,8,10	0,13,14,6,7,20,10,0,13,14,18,7,20,10	Harmonics.com
7 notes	Mela Jhalavarali (India)	0,1,2,6,7,8,11	0,13,14,6,7,20,11,0,13,14,18,7,20,11	Harmonics.com
7 notes	Mela Jhankaradhvani (India)	0,2,3,5,7,8,9	0,14,3,17,7,20,21	Harmonics.com
7 notes	Mela Jhotisvarupini (India)	0,3,4,6,7,8,10	0,3,4,18,7,20,10,0,3,4,6,7,20,10	Harmonics.com
7 notes	Mela Kantamani (India)	0,2,4,6,7,8,9	0,14,4,6,7,20,21,0,14,4,18,7,20,21	Harmonics.com
7 notes	Mela Manavati (India)	0,1,2,5,7,9,11	0,13,14,17,7,21,11	Harmonics.com
7 notes	Mela Nagananadini (India)	0,2,4,5,7,10,11	0,14,4,17,7,10,11	Harmonics.com
7 notes	Mela Namanararayani (India)	0,1,4,6,7,8,10	0,13,4,18,7,20,10,0,13,4,6,7,20,10	Harmonics.com
7 notes	Mela Pavani (India)	0,1,2,6,7,9,11	0,13,14,6,7,21,11,0,13,14,18,7,21,11	Harmonics.com
7 notes	Mela Ragavardhani (India)	0,3,4,5,7,8,10	0,3,4,17,7,20,10	Harmonics.com
7 notes	Mela Raghupriya (India)	0,1,2,6,7,10,11	0,13,14,18,7,10,11,0,13,14,6,7,10,11	Harmonics.com
7 notes	Mela Rasikapriya (India)	0,3,4,6,7,10,11	0,3,4,18,7,10,11,0,3,4,6,7,10,11	Harmonics.com
7 notes	Mela Ratnangi (India)	0,1,2,5,7,8,10	0,13,14,17,7,20,10	Harmonics.com
7 notes	Mela Rupavati (India)	0,1,3,5,7,10,11	0,13,3,17,7,10,11	Harmonics.com
7 notes	Mela Salaga (India)	0,1,2,6,7,8,9	0,13,14,6,7,20,21,0,13,14,18,7,20,21	Harmonics.com
7 notes	Mela Senavati (India)	0,1,3,5,7,8,9	0,13,3,17,7,20,21	Harmonics.com
7 notes	Mela Sucaritra (India)	0,3,4,6,7,8,9	0,3,4,18,7,20,21,0,3,4,6,7,20,21	Harmonics.com
7 notes	Mela Syamalangi (India)	0,2,3,6,7,8,9	0,14,3,6,7,20,21,0,14,3,18,7,20,21	Harmonics.com
8 notes	Mela Tanarupi (India)	0,1,2,5,6,7,10,11	0,13,14,17,6,7,10,11,0,13,14,17,18,7,10,11	Harmonics.com
7 notes	Mela Tanarupi (India)	0,1,2,5,7,10,11	0,13,14,17,7,10,11	Harmonics.com
7 notes	Mela Vanaspati (India)	0,1,2,5,7,9,10	0,13,14,17,7,21,10	Harmonics.com
7 notes	Mela Varunapriya (India)	0,2,3,5,7,10,11	0,14,3,17,7,10,11	Harmonics.com
7 notes	Mela Visvambhari (India)	0,1,4,6,7,10,11	0,13,4,18,7,10,11,0,13,4,6,7,10,11	Harmonics.com
7 notes	Mela Yagapriya  (India)	0,3,4,5,7,8,9	0,3,4,17,7,20,21	Harmonics.com
8 notes	Messiaen 2 according to Brown	0,2,3,5,6,8,10,11	0,14,3,17,6,20,10,11,0,14,3,17,18,20,10,11	Harmonics.com
8 notes	Messiaen 3 according to Brown,Messiaen 6th mode From Groves start B	0,1,3,5,6,7,9,11	0,13,3,17,6,7,21,11,0,13,3,17,18,7,21,11	Harmonics.com
8 notes	Messiaen 5 according to Brown,Messiaen Mode 4,Mode 4	0,1,2,5,6,7,8,11	0,13,14,17,6,7,20,11,0,13,14,17,18,7,20,11	Harmonics.com
6 notes	Messiaen 5th mode From Groves start E,Messiaen Mode 5	0,1,2,6,7,8	0,13,14,6,7,20,0,13,14,18,7,20	Harmonics.com
8 notes	Messiaen 7 according to Brown,Messiaen Mode 6 Inverse	0,2,4,5,6,8,10,11	0,14,4,17,6,20,10,11,0,14,4,17,18,20,10,11	Harmonics.com
6 notes	Truncated mode 2	0,2,5,6,8,11	0,14,17,6,20,11,0,14,17,18,20,11	Harmonics.com
6 notes	Messiaen Mode 2	0,3,4,5,9,11	0,3,4,17,21,11	Harmonics.com
8 notes	Messiaen Mode 4 Flat	0,1,2,3,6,7,8,9	0,13,14,3,6,7,20,21,0,13,14,3,18,7,20,21	Harmonics.com
8 notes	Messiaen Mode 4 Inverse	0,3,4,5,6,9,10,11	0,3,4,17,18,21,10,11,0,3,4,17,6,21,10,11	Harmonics.com
6 notes	Mode 5	0,1,5,6,7,11	0,13,17,18,7,11,0,13,17,6,7,11	Harmonics.com
6 notes	Messiaen Mode 5 Inverse	0,4,5,6,10,11	0,4,17,18,10,11,0,4,17,6,10,11	Harmonics.com
8 notes	Messiaen Mode 6	0,1,2,4,6,7,8,10	0,13,14,4,6,7,20,10,0,13,14,4,18,7,20,10	Harmonics.com
6 notes	Messiaen Truncated Mode 3	0,1,4,5,8,9	0,13,4,17,20,21	Harmonics.com
5 notes	Minor 6th Added,Minor Added Sixth Pentatonic	0,3,5,7,9	0,3,17,7,21	Harmonics.com
7 notes	Minor Bebop Heptatonic	0,2,3,4,7,9,10	0,14,3,4,7,21,10	Harmonics.com
8 notes	Minor Gypsy	0,2,3,6,7,8,10,11	0,14,3,18,7,20,10,11,0,14,3,6,7,20,10,11	Harmonics.com
5 notes	Minor Pentachord Chad Gadyo (Israel)	0,2,3,5,7	0,14,3,17,7	Harmonics.com
7 notes	Mixolydian Augmented	0,2,4,5,8,9,10	0,14,4,17,20,21,10	Harmonics.com
7 notes	Mixolydian b5	0,2,4,5,6,9,10	0,14,4,17,6,21,10,0,14,4,17,18,21,10	Harmonics.com
6 notes	Mixolydian Hexatonic,Yosen (Japan),Raga Darbar,Narayani,Suposhini (India)	0,2,5,7,9,10	0,14,17,7,21,10	Harmonics.com
5 notes	Mixolydian Pentatonic	0,4,5,7,10	0,4,17,7,10	Harmonics.com
7 notes	Neapolitan Minor Mode	0,1,2,4,6,8,9	0,13,14,4,6,20,21,0,13,14,4,18,20,21	Harmonics.com
8 notes	Neveseri (Greece)	0,1,3,6,7,8,10,11	0,13,3,18,7,20,10,11,0,13,3,6,7,20,10,11	Harmonics.com
7 notes	Nohkan (Japan)	0,2,5,6,8,9,11	0,14,17,6,20,21,11,0,14,17,18,20,21,11	Harmonics.com
8 notes	Oriental 2	0,1,4,5,6,9,10,11	0,13,4,17,6,21,10,11,0,13,4,17,18,21,10,11	Harmonics.com
8 notes	Phrygian Aeolian 2b 4b 6b,Phrygian Aeolian 3b1#	0,1,2,3,5,7,8,10	0,13,14,3,17,7,20,10	Harmonics.com
6 notes	Phrygian Hexatonic	0,3,5,7,8,10	0,3,17,7,20,10	Harmonics.com
8 notes	Phrygian Locrian	0,1,3,5,6,7,8,10	0,13,3,17,6,7,20,10,0,13,3,17,18,7,20,10	Harmonics.com
8 notes	Prokofiev,Prokofiev (All b's)	0,1,3,5,6,8,10,11	0,13,3,17,6,20,10,11,0,13,3,17,18,20,10,11	Harmonics.com
6 notes	Prometheus Neapolitan	0,1,4,6,9,10	0,13,4,18,21,10,0,13,4,6,21,10	Harmonics.com
6 notes	Pyramid Hexatonic	0,2,3,5,6,9	0,14,3,17,6,21,0,14,3,17,18,21	Harmonics.com
5 notes	Raga Abhogi	0,2,3,5,9	0,14,3,17,21	Harmonics.com
5 notes	Raga Audva Tukhari (India)	0,2,3,5,8	0,14,3,17,20	Harmonics.com
6 notes	Raga Bagesri,Sriranjani,Kapijingla (India)	0,2,3,5,9,10	0,14,3,17,21,10	Harmonics.com
6 notes	Raga Bauli (India)	0,1,4,7,8,11	0,13,4,7,20,11	Harmonics.com
6 notes	Raga Bhanumanjari (India)	0,3,4,5,7,10	0,3,4,17,7,10	Harmonics.com
8 notes	Raga Bhatiyar (India)	0,1,4,5,6,7,9,11	0,13,4,17,6,7,21,11,0,13,4,17,18,7,21,11	Harmonics.com
6 notes	Raga Bhavani (India)	0,1,3,6,8,10	0,13,3,6,20,10,0,13,3,18,20,10	Harmonics.com
6 notes	Raga Bhinna Pancama (India)	0,2,5,7,8,11	0,14,17,7,20,11	Harmonics.com
5 notes	Raga Bhinna Shadja,Hindolita (India)	0,4,5,9,11	0,4,17,21,11	Harmonics.com
6 notes	Raga Caturangini (India)	0,2,4,6,7,11	0,14,4,18,7,11,0,14,4,6,7,11	Harmonics.com
6 notes	Raga Chandrajyoti (India)	0,1,2,6,7,9	0,13,14,6,7,21,0,13,14,18,7,21	Harmonics.com
5 notes	Raga Chandrakauns Kafi,Surya (India)	0,3,5,9,10	0,3,17,21,10	Harmonics.com
5 notes	Raga Chandrakauns Kiravani (India)	0,3,5,8,11	0,3,17,20,11	Harmonics.com
