code	name	en
0 2 4 7 9	Majeur pentatonique,Gong (Chine),Raga Bhopali,Mohanam,Deskar,Bilahari (Inde)	Major Pentatonic,Gong (China),Raga Bhopali,Mohanam,Deskar,Bilahari (India)
0 1 4 5 7 8 10 11	Maqam Hijaz	Maqam Hijaz
0 1 3 4 5 6 9 10	Maqam Shadd'araban	Maqam Shadd'araban
0 1 3 4 5 6 9 10	Maqam Shadd'araban (6b de)	Maqam Shadd'araban (6b's)
0 1 4 6 7 9 11	Marva ou Marvi,Marva Thaat (Inde)	Marva or Marvi,Marva Thaat (India)
0 1 4 6 7 9 11	Marva Thaat (Inde),Marva Thaat (Inde)	Marva Thaat (India),Marva Thaat (India)
0 1 2 6 7 9 10	Mela Navanitam (Inde)	Mela  Navanitam (India)
0 1 3 6 7 8 10	Mela Bhavapriya (Inde)	Mela Bhavapriya (India)
0 2 4 6 7 10 11	Mela Citrambari (Inde)	Mela Citrambari (India)
0 3 4 6 7 8 11	Mela Dhatuvardhani (Inde)	Mela Dhatuvardhani (India)
0 1 4 6 7 8 9	Mela Dhavalambari (Inde)	Mela Dhavalambari (India)
0 1 3 6 7 10 11	Mela Divamani (Inde)	Mela Divamani (India)
0 1 2 5 7 8 11	Mela Ganamurti (Inde)	Mela Ganamurti (India)
0 3 4 5 7 8 11	Mela Gangeyabhusani (Inde)	Mela Gangeyabhusani (India)
0 1 3 6 7 8 9	Mela Gavambohdi (Inde)	Mela Gavambohdi (India)
0 1 4 5 7 10 11	Mela Hatakambari (Inde)	Mela Hatakambari (India)
0 1 2 6 7 8 10	Mela Jalarnava (Inde)	Mela Jalarnava (India)
0 1 2 6 7 8 11	Mela Jhalavarali (Inde)	Mela Jhalavarali (India)
0 2 3 5 7 8 9	Mela Jhankaradhvani (Inde)	Mela Jhankaradhvani (India)
0 3 4 6 7 8 10	Mela Jhotisvarupini (Inde)	Mela Jhotisvarupini (India)
0 2 4 6 7 8 9	Mela Kantamani (Inde)	Mela Kantamani (India)
0 2 4 6 7 8 11	Mela Latangi (Inde)	Mela Latangi (India)
0 2 4 6 7 8 11	Mela Latangi (Inde) (B6)	Mela Latangi (India) (b6)
0 1 2 5 7 9 11	Mela Manavati (Inde)	Mela Manavati (India)
0 2 4 5 7 10 11	Mela Nagananadini (Inde)	Mela Nagananadini (India)
0 1 4 6 7 8 10	Mela Namanararayani (Inde)	Mela Namanararayani (India)
0 2 3 6 7 9 11	Mela Nitimati (Inde)	Mela Nitimati (India)
0 1 2 6 7 9 11	Mela Pavani (Inde)	Mela Pavani (India)
0 3 4 5 7 8 10	Mela Ragavardhani (Inde)	Mela Ragavardhani (India)
0 1 2 6 7 10 11	Mela Raghupriya (Inde)	Mela Raghupriya (India)
0 3 4 6 7 10 11	Mela Rasikapriya (Inde)	Mela Rasikapriya (India)
0 1 2 5 7 8 10	Mela Ratnangi (Inde)	Mela Ratnangi (India)
0 1 3 5 7 10 11	Mela Rupavati (Inde)	Mela Rupavati (India)
0 1 2 6 7 8 9	Mela Salaga (Inde)	Mela Salaga (India)
0 1 3 5 7 8 9	Mela Senavati (Inde)	Mela Senavati (India)
0 3 4 6 7 8 9	Mela Sucaritra (Inde)	Mela Sucaritra (India)
0 2 3 6 7 8 9	Mela Syamalangi (Inde)	Mela Syamalangi (India)
0 1 2 5 6 7 10 11	Mela Tanarupi (Inde)	Mela Tanarupi (India)
